customer_ID,first_name,last_name,DOB,Gender,phone_number,Email_ID
10846,Erick,Ferencz,1989-01-16,M,9072276777,erick.ferencz@aol.com
11007,Ross,Patt,1990-02-25,M,9990231127,Ross@gmail.com
11417,Kylie,Cam,2000-03-09,M,4587296514,Kylie@gmail.com
11525,Kiley,Caldarera,1988-10-03,M,3102543084,kiley.caldarera@aol.com
11568,Bette,Nicka,1987-01-07,F,6104924643,bette_nicka@cox.net
11747,Deeanna,Juhas,1976-02-26,M,2154179563,deeanna_juhas@gmail.com
12286,Minna,Amigon,1976-08-07,F,2154228694,minna_amigon@yahoo.com
12501,Kris,Marrier,1977-02-17,M,4108044694,kris@gmail.com
13243,Matt,Damon,1982-12-04,M,1234567896,Matt@gmail.com
13675,Vallie,Mondella,1986-12-19,F,2087378439,vmondella@mondella.com
13697,Tyra,Shields,2000-04-21,F,2152288264,tshields@gmail.com
14284,Monica,Geller,1985-07-01,F,9591248101,Monica@gmail.com
14371,Camila,Cabilli,1983-02-05,F,5378487123,Camila@gmail.com
14656,Ellen,De,1996-09-03,F,79452115866,Ellen@gmail.com
15175,Chris,Hemsworth,1980-02-22,M,74551522863,Chris@gmail.com
15229,Minnar,Stock,1985-06-09,M,4793514864,Minnar@gmail.com
15260,Cecily,Hollack,0980-02-21,"M,",5128613814,cecily@hollack.org
15845,Bernard,Shaw,1985-06-05,M,7412369875,Bernard@gmail.com
16074,Gladys,Rim,1989-05-29,M,4143772880,gladys.rim@rim.org
16160,Danica,Bruschke,1988-10-24,F,2542051422,danica_bruschke@gmail.com
16229,Youland,Chen,1986-06-16,M,4785216954,Youland@gmail.com
16776,Leo,Nick,1988-07-19,M,8576938695,Leo@gmail.com
16795,Maurine,Yglesias,1984-09-10,F,4145737719,maurine_yglesias@yglesias.com
17479,Natalie,Fern,1995-01-16,F,3072793793,natalie.fern@hotmail.com
17725,Penney,Weight,1977-06-27,F,9078732882,penney_weight@aol.com
18026,Moon,Parlato,1993-06-28,M,5854984278,moon@yahoo.com
18926,Monica,Palo,1993-06-29,F,5894984278,monicap@yahoo.com
19251,Fletcher,Flosi,1985-12-20,M,8154265657,fletcher.flosi@yahoo.com
19261,Suki,Warter,1986-08-02,F,1236547895,Suki@gmail.com
20230,Alisha,Slusarski,1989-01-10,F,7326353453,alisha@slusarski.com
20777,Mitsue,Tollner,1986-03-25,F,7739248565,mitsue_tollner@yahoo.com
21146,Emerson,Bowley,1978-01-15,M,6086587940,emerson.bowley@bowley.org
21544,Rozella,Ostrosky,1995-08-12,F,8056091531,rozella.ostrosky@ostrosky.com
21636,Lisha,Centini,1979-10-24,F,7034757568,lisha@centini.org
21648,Rick,Ander,1990-11-03,M,8759211486,Rick@gmail.com
21706,Stephaine,Barfield,1992-01-15,F,3109681219,stephaine@barfield.com
21860,Blondell,Pugh,1983-05-12,M,4013008122,bpugh@aol.com
21906,Blair,Malet,1987-07-18,F,2157944519,bmalet@yahoo.com
22128,Yuki,Whobrey,1987-06-10,F,3133414470,yuki_whobrey@aol.com
22400,Maryan,Lucifer,1978-12-27,F,741852965,Maryan@gmail.com
23063,Brock,Bolognia,1997-01-06,M,2126175063,bbolognia@yahoo.com
23089,Maryann,Royster,1999-10-03,F,5184488982,mroyster@royster.com
23099,Marry,Lui,1984-01-02,"F	",8576938698,calbares@gmail.com
23393,Meaghan,Garufi,1990-07-13,F,9312357959,meaghan@hotmail.com
24529,Cammy,Albares,1979-08-21,F,9568417216,alba@cox.net
25077,Flishia,Keys,1994-01-09,M,4561237896,Flishia@gmail.com
25279,Dyan,Oldroyd,1978-06-01,M,9136458918,NULL
25451,Wilda,Giguere,1985-12-14,F,9079149482,wilda@cox.net
25471,Lai,Gato,1978-10-01,M,8479574614,lai.gato@gato.org
25766,Donette,Foller,1977-06-18,M,5135495617,donette.foller@cox.net
26087,Allene,Iturbide,1999-02-15,F,7155309863,allene_iturbide@cox.net
26328,Cory,Gibes,1997-05-21,M,6266962777,cory.gibes@gmail.com
26682,Kati,Rulapaugh,1983-05-28,F,7852197724,kati.rulapaugh@hotmail.com
26827,Meghan,Markel,1999-12-28,M,4597682465,Meghan@gmail.com
26947,Bobbye,Rhym,1986-05-04,M,6508119032,brhym@rhym.com
27059,Alishia,Sergi,1982-01-10,M,2127532740,asergi@gmail.com
27112,Tawna,Buvens,1986-03-23,F,2124629157,tawna@gmail.com
